id_evento,id_videojuego,nombre,descripcion,fecha_inicio,fecha_fin,tipo,activo
1,8042,Evento Within,Face attorney message over sit late answer.,2025-03-28,2025-06-19,Promoción,True
2,10633,Evento Current,Main hot manage building.,2025-02-09,2025-02-10,Torneo,False
3,11101,Evento Tend,Know follow community myself place itself history.,2025-05-02,2025-05-09,Promoción,False
4,5531,Evento Well,Not film sell summer administration country control.,2025-02-15,2025-02-15,Torneo,True
5,280,Evento Tonight,Bill else young blue pick reason.,2025-01-15,2025-03-23,Promoción,False
6,2999,Evento Each,Become article guy now organization military.,2025-05-12,2025-02-07,Promoción,False
7,1493,Evento Court,South learn here class travel off newspaper.,2025-05-14,2025-06-22,Torneo,True
8,5766,Evento Will,Seek middle military find.,2025-03-15,2025-05-15,Promoción,False
9,6204,Evento Task,Protect answer operation top really.,2025-03-04,2025-03-10,Promoción,True
10,4379,Evento Special,Continue quite no focus interview throughout hundred.,2025-05-25,2025-02-03,Torneo,False
11,513,Evento Own,When industry eat movie there yard.,2025-02-07,2025-02-03,Promoción,False
12,873,Evento Collection,Effect and stuff culture.,2025-02-19,2025-03-08,Promoción,True
13,13070,Evento Fight,However knowledge station experience performance.,2025-02-18,2025-05-02,Torneo,False
14,5243,Evento Side,Population draw bag save war too.,2025-02-16,2025-04-22,Promoción,False
15,14809,Evento Finally,Lawyer them leader feel north.,2025-01-01,2025-02-25,Torneo,False
16,5002,Evento Choice,Condition short style on whom.,2025-03-20,2025-05-02,Promoción,True
17,9127,Evento Blue,Pressure natural hard.,2025-05-07,2025-05-16,Torneo,True
18,6505,Evento Course,Office number stage out plant.,2025-04-16,2025-03-13,Torneo,True
19,10316,Evento Again,This month church movie.,2025-01-02,2025-05-25,Torneo,False
20,7483,Evento Loss,Away store operation life hand.,2025-06-27,2025-04-23,Promoción,False
21,6519,Evento Everyone,Should memory three only sister.,2025-01-17,2025-05-27,Promoción,False
22,11051,Evento Yourself,Class despite certain economic free painting book after.,2025-04-02,2025-01-22,Torneo,False
23,11161,Evento Herself,Eat benefit TV data fast heavy clear.,2025-01-16,2025-01-23,Promoción,True
24,14458,Evento Fight,Quite traditional often create place.,2025-05-13,2025-05-21,Promoción,False
25,9320,Evento There,Discuss ability new town in.,2025-04-25,2025-02-03,Torneo,True
26,2571,Evento Suddenly,Establish task marriage couple shoulder.,2025-04-22,2025-01-16,Promoción,False
27,3927,Evento Arm,Interview all direction similar parent politics.,2025-02-16,2025-01-14,Torneo,True
28,13928,Evento Night,Foot amount low than next individual.,2025-05-10,2025-06-16,Torneo,False
29,571,Evento Pressure,Visit up subject watch boy often natural candidate.,2025-02-09,2025-05-31,Promoción,True
30,12569,Evento Six,Full either everyone role already reach.,2025-05-27,2025-04-20,Torneo,False
31,3241,Evento Budget,Set level get quality avoid.,2025-04-20,2025-05-04,Promoción,False
32,4170,Evento Those,Material professional successful be past property.,2025-06-25,2025-02-16,Promoción,False
33,6714,Evento Real,Watch role history blood outside.,2025-03-08,2025-01-19,Torneo,False
34,8066,Evento Someone,Conference almost during know.,2025-06-18,2025-05-23,Torneo,True
35,7328,Evento Fall,Religious economy my point.,2025-04-04,2025-03-14,Torneo,True
36,11443,Evento Throughout,Option individual certainly page plan.,2025-02-22,2025-04-17,Torneo,False
37,6031,Evento Poor,Black today ready product age dog hard.,2025-03-06,2025-06-16,Promoción,True
38,5629,Evento Himself,Plant age sometimes head view night.,2025-04-10,2025-05-29,Torneo,True
39,2476,Evento Group,Shoulder environment book bar.,2025-04-24,2025-06-01,Promoción,False
40,11515,Evento Medical,One hotel tree beyond.,2025-01-07,2025-05-16,Promoción,False
41,11182,Evento Then,Trial wear time kind fish success apply.,2025-01-22,2025-02-12,Promoción,False
42,6678,Evento Enjoy,Discover impact media serve next deep.,2025-06-29,2025-06-08,Torneo,False
43,10881,Evento Fall,Exactly meet cover group trial put my.,2025-06-01,2025-03-16,Torneo,True
44,1468,Evento Tax,Success example later deep.,2025-04-24,2025-03-12,Promoción,False
45,1407,Evento Toward,Ground soldier soldier evidence image picture.,2025-03-07,2025-04-27,Promoción,False
46,6929,Evento Cause,Set store it design.,2025-05-31,2025-03-19,Torneo,True
47,1788,Evento List,Listen air quite leave.,2025-03-10,2025-02-09,Torneo,True
48,3064,Evento Return,Company finally top.,2025-03-31,2025-05-30,Torneo,False
49,12769,Evento On,Collection take station realize past drive.,2025-05-27,2025-05-25,Torneo,False
50,14105,Evento Fall,Senior institution nor whatever.,2025-02-05,2025-02-12,Promoción,True
51,2274,Evento Loss,Past program now cost.,2025-04-27,2025-03-08,Torneo,False
52,4600,Evento Score,Consumer add image line management travel.,2025-02-04,2025-05-18,Torneo,True
53,48,Evento Right,Unit direction hope leg page peace hospital.,2025-03-31,2025-05-06,Promoción,True
54,11742,Evento This,Like serve per trouble structure.,2025-03-21,2025-02-13,Promoción,False
55,11206,Evento Product,Boy spring democratic.,2025-01-07,2025-05-18,Promoción,False
56,13137,Evento Station,Protect wait purpose drug practice better fear.,2025-03-12,2025-06-18,Promoción,True
57,11105,Evento Seem,Remember statement professional such will perhaps.,2025-03-29,2025-04-07,Promoción,False
58,2341,Evento Trip,Western rate perform could.,2025-06-18,2025-06-11,Torneo,False
59,13213,Evento Establish,Mouth beautiful health market.,2025-02-08,2025-04-10,Promoción,False
60,8656,Evento Not,Popular difficult hand radio.,2025-06-23,2025-05-14,Promoción,True
61,5245,Evento Moment,Only score in media just.,2025-02-24,2025-02-26,Promoción,False
62,8404,Evento Energy,Consider leg set within member.,2025-05-13,2025-06-14,Promoción,False
63,2245,Evento Crime,Until investment society under sing.,2025-02-22,2025-03-29,Torneo,True
64,2236,Evento Recent,Ok my see nothing shoulder front.,2025-01-20,2025-02-21,Torneo,True
65,6114,Evento Listen,Result world contain center audience treatment company space.,2025-04-09,2025-02-20,Promoción,False
66,6918,Evento Win,Expert moment accept parent player.,2025-05-21,2025-04-09,Torneo,False
67,10126,Evento Either,Break half prevent church key model market environmental.,2025-06-21,2025-06-24,Torneo,True
68,13529,Evento Pull,Knowledge bit despite can month wall.,2025-02-14,2025-04-10,Torneo,True
69,10923,Evento Learn,Perhaps style seem word.,2025-04-15,2025-02-23,Promoción,False
70,426,Evento Country,Decision simply history hit develop leave finish.,2025-04-09,2025-03-28,Promoción,False
71,12054,Evento Late,Even least even know Republican.,2025-06-10,2025-01-04,Promoción,False
72,489,Evento Sense,Way though he seat miss society some always.,2025-04-15,2025-04-26,Torneo,False
73,6893,Evento Top,Happen miss nature best program personal determine.,2025-01-07,2025-02-14,Promoción,False
74,3575,Evento Today,Your us direction.,2025-02-03,2025-06-06,Promoción,True
75,7325,Evento Record,Nature market side purpose behavior fly style.,2025-06-24,2025-05-22,Promoción,False
76,7160,Evento Treatment,Billion fall other so talk bag nearly.,2025-06-24,2025-04-07,Promoción,True
77,13593,Evento Institution,Majority according almost minute economy without different.,2025-04-12,2025-01-09,Torneo,True
78,4580,Evento Short,Enjoy whose tonight maybe.,2025-02-22,2025-04-02,Promoción,True
79,1182,Evento About,Peace laugh light single behavior around.,2025-01-06,2025-01-01,Promoción,True
80,6711,Evento Understand,Including heavy bank interesting impact.,2025-01-15,2025-02-19,Torneo,False
81,13832,Evento Assume,Trip even open control tell office.,2025-04-16,2025-02-02,Promoción,False
82,14162,Evento Shoulder,According west character guy scientist morning build huge.,2025-06-11,2025-05-02,Promoción,False
83,11818,Evento Now,Nation doctor lawyer air police during.,2025-03-25,2025-03-03,Promoción,True
84,10979,Evento Time,Later system light ten.,2025-04-04,2025-05-27,Torneo,True
85,3880,Evento Toward,Why glass Congress.,2025-05-26,2025-04-04,Promoción,False
86,10237,Evento Fact,Mother certain how.,2025-02-07,2025-01-29,Torneo,False
87,427,Evento Mouth,Society leader interest discuss public.,2025-04-04,2025-06-02,Torneo,False
88,14422,Evento Film,These type consider where nothing.,2025-04-20,2025-04-19,Torneo,True
89,10891,Evento Maybe,Apply school voice power themselves within attorney.,2025-05-12,2025-02-20,Promoción,True
90,870,Evento Consider,Method bill institution likely north involve artist.,2025-01-31,2025-01-12,Promoción,False
91,7738,Evento Force,Likely arrive blood piece front.,2025-04-02,2025-06-25,Promoción,False
92,13969,Evento This,Few course back share plant reason.,2025-05-17,2025-05-21,Promoción,False
93,6980,Evento Every,Station seven start.,2025-01-08,2025-03-13,Promoción,False
94,14326,Evento Prove,Office ground study less.,2025-01-31,2025-04-18,Promoción,False
95,10202,Evento Appear,Alone smile central near.,2025-02-11,2025-01-16,Torneo,False
96,11814,Evento Relationship,Both north either discuss term rest.,2025-04-15,2025-01-22,Torneo,False
97,10200,Evento Forward,Close recognize big wide staff clearly discuss.,2025-06-08,2025-03-29,Torneo,False
98,7085,Evento Rich,Oil worker school by education to myself.,2025-02-05,2025-05-07,Torneo,False
99,1797,Evento Score,Good time newspaper painting.,2025-03-20,2025-03-22,Promoción,False
100,7858,Evento List,Alone special reduce sing moment.,2025-05-04,2025-04-01,Promoción,False
101,9311,Evento System,Treat set allow out scientist suffer.,2025-05-02,2025-02-08,Torneo,True
102,5530,Evento Game,Family including them almost.,2025-06-21,2025-03-05,Torneo,True
103,12796,Evento Finish,Nor worker morning conference.,2025-06-02,2025-02-19,Torneo,False
104,7939,Evento State,Consider week face.,2025-02-14,2025-04-13,Promoción,True
105,7817,Evento According,Show reality activity measure difficult event put.,2025-01-27,2025-06-06,Torneo,False
106,8261,Evento Leader,Effort without yard.,2025-04-29,2025-06-25,Promoción,False
107,12458,Evento Main,According occur bring consumer himself.,2025-05-15,2025-01-04,Torneo,False
108,3077,Evento Office,Road research indicate field.,2025-02-13,2025-05-26,Torneo,True
109,4501,Evento Form,Service second difference according throw.,2025-02-26,2025-01-11,Promoción,True
110,12482,Evento Yourself,Tend already from future close parent.,2025-01-18,2025-03-27,Promoción,False
111,3544,Evento Change,And low national drop.,2025-04-07,2025-04-09,Torneo,True
112,12902,Evento Administration,Speak husband activity.,2025-01-04,2025-05-07,Promoción,True
113,668,Evento Another,Seven far least open wall meeting.,2025-04-25,2025-02-10,Torneo,False
114,1414,Evento Idea,Possible act their old part.,2025-06-10,2025-02-14,Promoción,True
115,8841,Evento Attack,Include game instead.,2025-01-05,2025-03-11,Promoción,False
116,10218,Evento Space,Baby American build eye.,2025-04-22,2025-01-07,Promoción,False
117,9370,Evento Catch,Majority six treat number.,2025-02-10,2025-02-18,Promoción,True
118,1786,Evento Several,Industry according western forget up may resource.,2025-02-17,2025-06-25,Promoción,False
119,6065,Evento Environmental,Society side present avoid professional mouth.,2025-03-19,2025-01-29,Torneo,True
120,4403,Evento Wait,Development Congress second image.,2025-01-06,2025-04-12,Torneo,True
121,2860,Evento Above,Should third moment.,2025-02-27,2025-03-24,Torneo,True
122,225,Evento Next,During we key thus.,2025-02-15,2025-02-09,Promoción,False
123,4271,Evento Worry,Girl treat table certain woman such.,2025-03-06,2025-02-06,Promoción,False
124,8895,Evento Vote,Pay mind firm its have.,2025-02-10,2025-03-08,Torneo,False
125,4236,Evento Middle,Though right tree scene once you.,2025-04-19,2025-01-08,Promoción,True
126,9583,Evento Everyone,Newspaper simple on look sea success.,2025-03-06,2025-03-05,Torneo,True
127,3803,Evento Drop,Technology lay quickly.,2025-04-02,2025-04-08,Torneo,False
128,1303,Evento Appear,Fact detail walk another.,2025-02-01,2025-05-08,Torneo,True
129,11526,Evento Style,Call house almost side.,2025-05-20,2025-04-22,Torneo,True
130,14122,Evento Year,Agency both continue lot.,2025-04-30,2025-06-03,Promoción,True
131,5453,Evento Society,Suggest other maintain card increase food.,2025-04-17,2025-05-11,Promoción,False
132,11834,Evento Oil,Arm nothing serve wonder sing effort unit.,2025-04-14,2025-06-21,Promoción,False
133,2783,Evento Hotel,Pass place show democratic media leader.,2025-05-13,2025-04-15,Torneo,True
134,8934,Evento Middle,Hospital rise throw support.,2025-01-21,2025-03-23,Torneo,True
135,12294,Evento Expect,Natural conference type enough across pressure boy.,2025-06-26,2025-06-05,Torneo,False
136,2362,Evento Federal,Half into return us.,2025-04-05,2025-03-26,Torneo,False
137,6392,Evento Top,Film tonight commercial research drive benefit only.,2025-05-14,2025-06-19,Torneo,False
138,4708,Evento Leave,Its financial consider woman event.,2025-02-12,2025-01-22,Promoción,False
139,343,Evento Full,Father truth black detail bag available base still.,2025-06-09,2025-02-19,Torneo,False
140,13179,Evento Figure,Need serious nation nearly allow.,2025-03-06,2025-02-09,Torneo,False
141,13201,Evento Daughter,Such head office only agree sometimes.,2025-04-12,2025-02-23,Torneo,False
142,5220,Evento Pass,Finish item force should traditional doctor.,2025-03-29,2025-03-25,Torneo,False
143,14583,Evento Safe,Attorney special cost only direction news.,2025-02-03,2025-06-09,Torneo,True
144,13522,Evento Add,Action stock finish.,2025-06-30,2025-03-22,Promoción,False
145,7665,Evento Life,Party anything item issue.,2025-04-03,2025-05-09,Promoción,True
146,8454,Evento Fish,Rock enter race figure.,2025-02-10,2025-01-01,Promoción,False
147,4903,Evento Memory,Cup record piece soon system.,2025-06-28,2025-01-10,Torneo,True
148,67,Evento Figure,Energy prepare information choice say.,2025-01-21,2025-05-29,Promoción,True
149,11224,Evento Arrive,Blood me travel although end purpose himself.,2025-05-27,2025-04-05,Torneo,False
150,4060,Evento Model,Bring kid culture daughter mouth.,2025-01-11,2025-01-01,Promoción,False
151,2677,Evento Option,Around well dinner conference more sign debate.,2025-06-11,2025-06-10,Torneo,False
152,9894,Evento Member,Store pay cost body generation affect sense unit.,2025-06-14,2025-03-03,Promoción,True
153,13205,Evento Ask,Southern interesting miss still.,2025-01-15,2025-04-24,Promoción,False
154,1676,Evento Field,Yet plant weight today ago wind stage.,2025-02-28,2025-02-02,Promoción,True
155,6809,Evento Ago,Record song fall here but just.,2025-05-20,2025-06-11,Promoción,False
156,9320,Evento Actually,Send bank news medical prove realize.,2025-06-23,2025-05-18,Promoción,False
157,12715,Evento Process,Tv child concern really seat blue.,2025-02-26,2025-06-16,Promoción,True
158,4992,Evento Down,Improve lot professional wide.,2025-03-11,2025-02-20,Torneo,True
159,7300,Evento Line,Student else Mrs middle.,2025-06-13,2025-06-06,Promoción,False
160,9377,Evento Talk,West wrong as stage especially magazine source.,2025-06-20,2025-04-26,Torneo,False
161,3795,Evento Perform,Worker listen realize chance detail manager owner.,2025-02-02,2025-01-21,Torneo,True
162,11806,Evento Security,Work arm station PM.,2025-03-03,2025-03-31,Promoción,False
163,3407,Evento Sense,His goal into him important per appear.,2025-04-28,2025-05-09,Promoción,False
164,4285,Evento Speech,Interview green like represent material without foreign.,2025-04-18,2025-03-08,Torneo,False
165,13414,Evento Program,Difficult sound speak take kid American.,2025-06-28,2025-05-23,Torneo,True
166,1646,Evento Board,Job man respond movie officer much property.,2025-01-25,2025-03-01,Promoción,False
167,8740,Evento Factor,Enjoy ok they animal.,2025-01-16,2025-05-14,Promoción,False
168,13618,Evento Body,Direction onto bed try worry performance.,2025-06-24,2025-05-26,Promoción,True
169,13500,Evento Pretty,Form political believe interview field high clearly.,2025-02-02,2025-05-26,Promoción,True
170,1055,Evento Friend,Pay reality until scientist daughter.,2025-03-20,2025-02-20,Promoción,False
171,13617,Evento Education,Crime third ready yourself describe follow somebody.,2025-01-27,2025-04-12,Torneo,False
172,14597,Evento International,Very pressure agency respond blood image move.,2025-01-12,2025-02-19,Torneo,False
173,2556,Evento Imagine,Conference number example form think.,2025-04-17,2025-04-25,Torneo,False
174,3115,Evento Mr,Figure parent upon him return couple.,2025-06-19,2025-05-19,Torneo,False
175,7736,Evento Executive,Know western performance pattern protect choose.,2025-03-17,2025-01-20,Torneo,True
176,5038,Evento Across,Young throw sure bed hit color avoid.,2025-03-06,2025-02-11,Torneo,False
177,11419,Evento Similar,Your despite general discuss design.,2025-01-05,2025-05-01,Promoción,True
178,816,Evento Network,Into life smile create thought who.,2025-03-30,2025-05-17,Torneo,True
179,2171,Evento Finally,Determine take maintain under reach three.,2025-05-09,2025-06-01,Torneo,True
180,2098,Evento Nothing,Sometimes fast finish door work all.,2025-02-23,2025-06-29,Torneo,True
181,10659,Evento Need,Election have they common value must trouble chair.,2025-03-15,2025-02-23,Torneo,True
182,8834,Evento Stay,Do pull soon behind.,2025-05-08,2025-04-25,Torneo,False
183,7393,Evento Even,Watch goal focus effect director ago best year.,2025-05-16,2025-05-23,Torneo,False
184,5712,Evento Always,Buy PM trial dog.,2025-04-01,2025-02-10,Promoción,True
185,12774,Evento Leg,Event number whom series similar decide six artist.,2025-06-29,2025-01-15,Promoción,False
186,13957,Evento Anyone,With son safe hold reveal room letter.,2025-01-22,2025-02-12,Promoción,False
187,10326,Evento Peace,Those computer attorney into.,2025-06-28,2025-06-15,Promoción,True
188,4539,Evento Job,Remain attention put system interest maybe write fall.,2025-01-29,2025-03-26,Torneo,False
189,3772,Evento Maybe,List tend thus dog wife list.,2025-05-31,2025-03-18,Promoción,False
190,47,Evento Catch,Director travel according voice against address.,2025-06-23,2025-06-27,Promoción,True
191,12693,Evento Administration,Response deal book animal money have road ok.,2025-02-20,2025-06-15,Promoción,False
192,920,Evento Single,Respond project plan experience woman figure.,2025-04-11,2025-04-30,Torneo,True
193,13554,Evento Economy,Cold employee involve edge hour sit.,2025-03-19,2025-03-08,Torneo,True
194,7378,Evento College,Occur item sit world modern reflect career either.,2025-06-15,2025-06-07,Promoción,True
195,14565,Evento Bag,Pretty under herself everyone.,2025-01-17,2025-02-23,Promoción,True
196,4291,Evento Improve,Simple state same myself science nor second wonder.,2025-05-06,2025-05-23,Torneo,False
197,12250,Evento Century,Look by lot author trip.,2025-05-30,2025-06-15,Torneo,True
198,10032,Evento Claim,Seek right trial arm.,2025-01-20,2025-06-18,Promoción,True
199,9904,Evento Science,Environment material significant cultural.,2025-06-27,2025-02-07,Torneo,True
200,13201,Evento Action,Think school since beat industry three future.,2025-03-24,2025-05-03,Promoción,False
201,11563,Evento Represent,Street positive protect hit.,2025-02-12,2025-02-20,Torneo,True
202,457,Evento Myself,Month art imagine still bag church one.,2025-01-28,2025-03-05,Torneo,True
203,4398,Evento Inside,Foreign agent somebody budget do.,2025-04-12,2025-05-24,Torneo,True
204,8373,Evento Radio,Sister pay everyone care later best listen.,2025-04-04,2025-03-02,Torneo,True
205,13455,Evento Month,Risk institution party throughout.,2025-02-28,2025-03-07,Torneo,True
206,13634,Evento High,By truth score long.,2025-04-02,2025-04-30,Promoción,False
207,6454,Evento Support,Increase they be yourself story.,2025-01-14,2025-02-22,Promoción,False
208,12423,Evento Real,Meeting painting reality fish.,2025-03-30,2025-06-18,Torneo,True
209,10427,Evento Watch,Color manager fear woman care process.,2025-06-13,2025-01-21,Promoción,False
210,9694,Evento Wind,With ahead president include yet Congress fight.,2025-02-12,2025-01-16,Torneo,True
211,12080,Evento Team,Sign its eight whole weight language coach.,2025-01-21,2025-03-19,Torneo,False
212,7730,Evento Modern,Enjoy citizen less rich whom table loss.,2025-03-11,2025-01-15,Promoción,True
