reseña_id,id_videojuego,usuario_id,comentario,fecha_comentario,nro_logros,horas_jugadas
1,11689,8786,Return style often international be throw toward. Sit yourself central top tend. Determine successful art at however.,2025-01-29,3,89
2,11961,5254,Language music magazine past direction. Piece simply describe whatever black born training. Including family task bad sound.,2025-04-29,69,133
3,1381,7670,Just involve development. Low individual card low. Difference country model section.,2025-06-16,15,30
4,6785,10773,Five meeting order site cut may threat. Student own write provide sport operation.,2025-04-19,36,200
5,14584,17386,Up all whom get. Expert already from listen. Next ten couple debate understand traditional else year.,2025-02-25,76,75
6,14709,19009,Avoid rule enter research second fly. Minute expect high thousand much plant act mouth. High number recently dream.,2025-05-13,51,136
7,1931,6793,Type street party my official from single. Model style appear budget. Meet beautiful out sing term international rate.,2025-05-22,39,194
8,7164,9592,Off kind spend big. Entire attorney north whose baby word challenge out.,2025-06-07,50,8
9,3209,13421,Create once specific service special baby small. Better remember than company despite determine American fight.,2025-02-04,12,23
10,12707,10839,Note wide meet rise movie. Enter among seat investment yet line radio. Daughter movie already turn next television worry.,2025-03-20,14,124
11,3400,8295,Allow impact girl far idea at. Side role everything president make.,2025-04-11,14,180
12,1956,2703,Exactly successful seat. Smile center run owner. Thing early man old his.,2025-06-06,18,143
13,10843,15607,Good market total assume society foot this. When suffer form say manage successful article. Couple meeting describe report miss whatever hard.,2025-06-02,87,76
14,12324,16966,Career student stage read. All visit us play.,2025-02-09,51,151
15,4112,6265,Boy security doctor each. Of identify meeting ground of.,2025-03-02,25,42
16,4297,1105,Accept lay never president. Again black official message. Marriage push region institution.,2025-02-06,40,101
17,9384,16513,Include above word edge trial total. Boy policy draw dark study resource such.,2025-05-12,64,101
18,6257,17969,Success doctor subject onto. Nearly wind return increase to attention. Question call election occur vote. Section outside on environmental arm bit floor.,2025-05-16,92,162
19,4539,2545,Rich station one growth. Available music different grow significant. Seat against record step however fine.,2025-05-08,72,44
20,4015,15759,Teach continue worry half example. The light decade half financial everything describe.,2025-04-25,71,42
21,4801,15316,System catch too fish. Real manager common traditional learn behind.,2025-01-25,62,101
22,3083,19895,With moment call candidate identify. Sport dog Mrs hundred shake movie live.,2025-02-25,30,19
23,7654,17422,Make someone skill scientist space medical.,2025-05-28,98,117
24,6062,6839,Those lead expect free. Deep young floor identify move.,2025-04-12,28,15
25,3633,14346,Machine receive seven she theory together. Positive truth as base great show ability. Election American figure black write another.,2025-06-06,93,94
26,14346,17976,Without order task. Evidence usually too as.,2025-06-11,44,174
27,14616,10981,Can phone ahead relationship. Candidate shake here protect.,2025-03-03,35,39
28,9904,19843,Data car success movement make memory. Tree while decide include. Upon laugh anything Congress eye challenge use.,2025-04-16,96,28
29,11887,4805,Old allow success add later task officer. Language something history. Tough short military kitchen space.,2025-04-09,37,59
30,14000,8856,Kid theory father then. Building crime role wind president lawyer.,2025-06-26,88,18
31,7491,15162,Economy man too food crime she allow able. None gas television result. Inside position hotel pretty action great stuff.,2025-06-10,91,119
32,13602,12513,Investment those system success medical. Economy raise history current. Relate respond receive decision.,2025-03-06,30,194
33,6953,9036,With training truth them stock which. Daughter involve break us purpose between. Next necessary feeling history old summer see drive. Lawyer reduce we.,2025-05-31,88,8
34,1150,10427,Official occur large hold better. Throw option husband. After about show should yeah up child.,2025-04-08,51,145
35,9497,3015,Maintain PM worker method summer beyond clearly. No race this three seem defense. Life son medical family somebody great require.,2025-06-18,74,77
36,1124,15962,Whom same partner simply. Company development indicate move make.,2025-06-29,85,44
37,2684,10484,Less education simple western. Safe couple character reality far manager hit smile.,2025-03-07,2,146
38,6241,17834,Pressure cup oil bit public term issue. Investment wrong even old to political. Future clearly material explain until rate.,2025-04-24,57,133
39,10988,463,City view accept other city sign. More response language brother street eye financial.,2025-06-08,74,35
40,6192,3908,Whole positive federal those help place they. Building interesting sound fly anything around. Issue now stand.,2025-01-01,41,110
41,9282,9582,Similar right might cultural sell. Two team edge dream us ball citizen. Already thing picture star. Use improve no professor.,2025-02-15,89,65
42,6801,18906,Adult begin book citizen agree end. Control worker increase product.,2025-06-24,79,88
43,2377,14432,Air require enough say cover remain away. Skill forget east support force participant save understand. Education heavy own remember receive store voice.,2025-06-08,97,69
44,3808,2577,Then discover fine here bag hot. Character summer prove politics. Result free green once thank boy know.,2025-05-30,61,140
45,13588,7684,Sister analysis performance visit lose. Approach still buy feeling season certain. Yeah item forget second able.,2025-05-06,67,99
46,13405,11371,Lose young approach. Future back everyone.,2025-05-24,24,48
47,10699,18074,Suffer much choose gun happy water. Recently and author current herself price. Represent audience anyone well near every drive. Girl girl window matter within window stock.,2025-02-26,100,113
48,8371,6661,Hot door student history day. Anyone all certainly before.,2025-03-06,9,146
49,9112,5628,Nature data both future occur. Himself lay collection section.,2025-03-11,78,132
50,14226,13196,Treat probably history court sound argue wind. Focus summer subject culture top policy tonight.,2025-01-18,30,190
51,13789,2769,Type usually know green people three option. Civil deep Congress only yeah. Article similar sometimes believe pattern item interview. Authority happy threat.,2025-06-04,56,62
52,11532,18676,Collection describe little represent himself fast effect. Feel girl kind many determine voice. Need quite tonight campaign.,2025-04-24,86,4
53,2075,4647,Media agent forget issue spend part. Season herself officer over especially work. Floor compare cause get.,2025-06-09,49,13
54,2884,5672,Use group trial social public food. Range despite American sit break decade rock.,2025-03-03,45,95
55,8822,1258,People democratic mean table feel on. Record design stop politics method. Certainly property collection wide need.,2025-06-23,71,4
56,2027,19652,Five read meeting size lay sometimes nice. Station type address property. Main message commercial only pass research audience.,2025-05-31,2,178
57,10735,19791,Compare drop so wonder. Year soon happy deal lot theory. Dark range movement reason who.,2025-05-18,99,8
58,4528,343,World artist more popular who factor. Able keep prove decision administration player imagine.,2025-04-07,57,30
59,2270,11399,Pressure statement idea computer around. Stand huge statement book some. Attention small hour about later garden. Safe thought good treatment similar form name general.,2025-06-30,53,41
60,10187,3586,Impact degree he. Activity remain want oil candidate soon. Apply industry close laugh popular middle.,2025-06-22,95,142
61,14679,12520,Build they place main chair agent. The skin base fine attorney.,2025-03-10,13,136
62,14227,7734,Heavy person institution. Ok shake side per. Painting act good attorney.,2025-06-01,5,87
63,14323,7530,Outside road both. Coach eat everyone entire. Increase business manage face system fight.,2025-02-20,29,99
64,5989,5335,Officer wonder chair score exist. Month management let. Blood with bad when medical.,2025-05-24,18,149
65,1232,1969,With around summer kitchen movie deep. Bar hand organization administration gun usually ok. Like answer financial forget effort trade.,2025-01-16,95,189
66,10557,6752,Look option story suddenly daughter. War find general my add star. Long quality material key then this.,2025-01-07,32,117
67,1915,9320,Total former cover development. Major avoid send part.,2025-05-04,66,95
68,12701,8445,Knowledge perform trial career approach student. Mr if suddenly teacher ready game. Back five sometimes fast get accept military. Forward education leader very field official.,2025-03-15,37,192
69,3194,15170,Close begin keep ago whole. Feeling including when wall.,2025-02-06,92,179
70,518,16761,Style leave effort soldier idea whole. East his item general use without figure. Wonder put reality.,2025-05-16,99,52
71,3475,5019,Order film wear impact. Its common region thus push. No all term.,2025-03-18,75,141
72,7217,15110,Senior value in lose. Sit hair about course. Born there only pay wide lead.,2025-01-12,24,79
