id_intercambio,id_objeto,usuario_id_dador,usuario_id_recibidor,saldo_dador,saldo_recibidor,fecha_transaccion
1,11703,17438,14964,29.89,49.69,2025-02-08
2,10478,10334,10447,8.1,27.52,2025-06-16
3,1000,13234,513,34.3,30.33,2025-02-12
4,13077,9875,13073,22.57,42.64,2025-03-19
5,1722,7583,18080,13.6,46.15,2025-03-21
6,12530,5508,10580,20.07,11.23,2025-06-14
7,10969,153,4423,9.32,46.76,2025-01-24
8,9123,4140,3256,16.82,20.51,2025-05-09
9,7643,1378,15681,20.21,20.86,2025-01-02
10,8454,15281,18992,9.53,15.3,2025-05-06
11,6158,16311,13695,5.68,8.01,2025-04-20
12,11377,2775,2702,31.46,44.63,2025-04-27
13,3392,4154,14889,28.46,23.21,2025-06-26
14,9880,5235,6639,21.41,32.11,2025-05-10
15,1674,14173,11761,23.74,16.58,2025-04-23
16,6452,5395,16233,48.38,40.31,2025-06-04
17,10559,2739,12989,39.22,46.99,2025-01-19
18,14640,5417,8467,20.61,45.34,2025-03-12
19,3420,17696,6451,44.99,28.43,2025-04-24
20,12596,3773,16211,8.7,32.48,2025-03-24
21,3126,8576,11023,37.78,24.36,2025-05-13
22,2778,4862,481,26.19,40.99,2025-04-29
23,1559,18077,10674,16.65,22.53,2025-06-18
24,4867,9483,9152,49.36,29.99,2025-05-28
25,14238,10730,17892,44.27,24.73,2025-03-17
26,14560,11006,1498,38.57,12.84,2025-02-28
27,4583,7644,12936,10.29,12.22,2025-01-16
28,7220,12628,12692,42.31,5.62,2025-04-20
29,2971,10390,1631,12.85,49.42,2025-04-13
30,1891,11572,12824,35.73,42.23,2025-05-01
31,12699,7211,6211,23.11,36.08,2025-01-23
32,11445,12816,16087,38.56,37.98,2025-01-05
33,13227,17520,17164,29.48,40.04,2025-01-31
34,11488,5404,7581,42.79,8.89,2025-05-29
35,8510,3935,6546,31.02,32.1,2025-01-12
36,8504,6807,15434,13.74,13.13,2025-04-08
37,10400,15683,18964,46.85,6.66,2025-02-24
38,7088,11117,11889,30.39,46.12,2025-02-19
39,13492,17896,3548,16.11,35.7,2025-01-15
40,13791,2294,13336,19.42,20.12,2025-03-13
41,122,14333,16477,11.34,6.42,2025-03-17
42,9548,13715,6061,36.33,22.3,2025-01-07
43,1422,19579,6230,13.34,41.52,2025-03-23
44,4668,6849,9098,46.12,16.99,2025-03-16
45,5945,2988,8048,18.55,27.44,2025-01-21
46,11393,4075,16082,40.83,41.32,2025-02-01
47,10966,19016,14360,34.23,16.37,2025-05-02
48,9607,10604,5794,35.11,21.69,2025-06-13
49,14451,19335,11704,24.82,29.45,2025-05-28
50,10481,5391,9920,22.88,14.86,2025-05-05
51,11165,10264,3570,11.38,39.59,2025-01-07
52,4701,7119,13387,47.49,46.68,2025-03-27
53,8014,3360,813,12.35,22.24,2025-05-04
54,13977,3115,5968,49.32,13.71,2025-03-26
55,12577,16614,18841,41.71,38.63,2025-01-14
56,13576,2867,6564,23.12,24.62,2025-05-13
57,14908,17381,895,38.38,26.77,2025-04-18
58,1403,1215,9715,34.04,7.71,2025-03-19
59,12309,10605,12971,17.16,12.87,2025-06-19
60,739,17464,17812,38.15,7.23,2025-04-15
61,13048,15930,13596,12.42,8.13,2025-06-17
62,4176,2260,11403,36.94,22.42,2025-02-03
63,2611,2761,6076,28.01,8.32,2025-05-08
64,11341,15294,10432,25.07,9.27,2025-01-09
65,12111,15482,16771,26.34,33.22,2025-01-21
66,3998,12831,13023,30.08,47.83,2025-04-19
67,6186,11718,7396,48.0,7.43,2025-05-27
68,5947,17647,6498,18.01,36.28,2025-02-18
69,8592,4088,7151,15.12,46.34,2025-03-16
70,5643,4679,4409,34.94,37.99,2025-05-23
71,14050,3454,10734,7.17,5.66,2025-05-05
72,12971,18025,17609,47.79,29.08,2025-05-05
73,1390,16447,727,14.43,47.0,2025-04-16
74,13763,15739,7904,15.16,17.05,2025-04-09
75,2838,1388,10091,9.04,13.87,2025-03-25
76,5109,4450,13938,5.88,47.8,2025-06-25
77,5057,12291,15845,11.32,43.41,2025-05-05
78,6653,115,17544,17.8,44.07,2025-05-02
79,10922,2036,17257,31.15,26.14,2025-02-11
80,9025,5168,11554,22.91,6.78,2025-06-27
81,1383,5647,10016,26.27,28.46,2025-06-27
82,14360,3992,5672,47.03,48.53,2025-05-28
83,3067,9945,17372,41.96,5.34,2025-05-22
84,1616,4882,18215,23.98,5.13,2025-01-16
85,8191,9400,10142,46.66,19.87,2025-03-02
86,14441,12738,4930,46.93,11.53,2025-02-02
87,315,5564,13656,48.36,36.62,2025-04-24
88,3220,8952,18850,34.04,45.67,2025-04-03
89,1266,7056,10186,44.78,47.57,2025-01-19
90,552,10247,13775,10.62,10.41,2025-05-05
91,13099,5342,3021,26.81,24.42,2025-04-24
92,5841,9614,17082,33.11,17.28,2025-04-03
93,4025,1738,16282,20.96,20.89,2025-02-06
94,9204,2539,17854,48.72,44.72,2025-01-03
95,2694,10932,13060,34.18,43.13,2025-06-22
96,9473,11287,4318,43.25,24.43,2025-04-23
97,4068,15954,13642,11.0,22.15,2025-02-10
98,13376,6144,7245,37.31,5.93,2025-04-06
99,11341,8443,10172,36.59,13.03,2025-05-26
100,5442,18592,8408,25.21,22.96,2025-03-23
101,3522,6842,16604,12.93,13.97,2025-01-02
102,8209,7402,458,7.95,32.8,2025-02-07
103,6579,5911,2715,46.66,13.1,2025-04-04
104,2328,12622,11583,31.5,18.36,2025-01-16
105,7604,2938,18299,46.35,16.9,2025-03-26
106,7898,989,16260,25.14,24.91,2025-04-19
107,4926,9242,15746,16.88,32.33,2025-03-17
108,6065,1722,19224,42.72,43.34,2025-05-18
109,2025,263,6638,31.58,21.99,2025-04-09
110,1625,6907,14501,42.47,36.63,2025-04-09
111,7354,9731,3277,18.58,40.77,2025-05-16
112,1152,14397,7952,47.93,22.28,2025-04-07
