id_videojuego,nombre,descripcion,fecha_creacion,precio,usuario_id
1,Videojuego Performance,Tax especially late clear.,2024-01-26,45.04,9066
2,Videojuego Girl,Use off might onto.,2023-10-30,55.21,5573
3,Videojuego Receive,Spring stuff east also stock our myself people.,2022-11-02,34.78,2000
4,Videojuego Follow,Financial continue take blood important meeting.,2023-03-14,20.93,4215
5,Videojuego Method,Hand black information board.,2024-05-09,20.88,4229
6,Videojuego Future,Word upon station story inside money quality dark.,2022-04-04,59.39,13504
7,Videojuego Item,Lose common among hospital defense leg.,2022-01-30,50.88,18226
8,Videojuego Be,Argue necessary scene history sort.,2023-11-18,50.87,17428
9,Videojuego Interest,Production quickly become during.,2024-03-19,44.17,6647
10,Videojuego Lose,Security low force.,2023-06-13,21.75,12232
11,Videojuego Practice,Professor gas realize that group year environmental blood.,2024-10-14,13.12,14431
12,Videojuego Keep,Finally high how away.,2022-07-06,35.85,10606
13,Videojuego Debate,Bit trial clear organization debate.,2022-01-08,35.04,15289
14,Videojuego Available,Voice during six the health alone hold hair.,2024-09-02,40.74,15938
15,Videojuego Medical,Executive president material month.,2021-02-06,50.96,13767
16,Videojuego Should,Sit look little play candidate while.,2022-12-18,28.5,17461
17,Videojuego Camera,Analysis you drug study ten.,2023-07-28,38.18,12979
18,Videojuego Various,Best school again.,2022-06-09,27.78,7404
19,Videojuego Successful,Learn experience bag speak.,2021-12-31,38.94,6180
20,Videojuego Person,Miss kitchen sing night then ok.,2022-07-24,49.17,6373
21,Videojuego Enough,Capital future chair management his floor.,2021-08-01,44.32,849
22,Videojuego Area,Away thank until police boy effort share dream.,2023-12-07,10.48,13109
23,Videojuego Opportunity,Politics minute necessary political artist heart.,2025-01-29,42.31,16148
24,Videojuego Now,Answer lay produce everyone source it.,2020-12-04,29.03,5641
25,Videojuego Nothing,President of difficult image federal single eat former.,2022-10-16,22.31,5164
26,Videojuego Generation,Church open environmental whom offer heart under region.,2022-04-27,57.43,14872
27,Videojuego Mission,Southern when reason participant popular shake stand.,2020-09-11,38.19,8235
28,Videojuego Detail,Language class child on should group buy minute.,2020-07-08,44.03,6772
29,Videojuego System,Crime buy we fast statement official.,2020-10-14,41.85,14877
30,Videojuego Account,Try capital large beautiful reveal girl decision relate.,2022-08-15,47.92,4799
31,Videojuego Goal,Drug agent claim center.,2025-01-16,57.37,13047
32,Videojuego Down,Mouth themselves form example off behind then.,2021-10-12,52.16,19140
33,Videojuego Region,Moment forward record money write choose staff.,2020-09-27,14.78,2781
34,Videojuego Land,Around next quickly tough born side.,2022-12-15,22.36,10347
35,Videojuego Leader,Try bank candidate usually assume production American.,2023-05-24,13.67,14282
36,Videojuego Person,Others foot church tend.,2022-08-22,34.1,3052
37,Videojuego Truth,Enough side season could cover.,2024-10-27,58.12,5155
38,Videojuego Career,Audience throughout receive eye government consumer cut.,2022-06-25,56.13,125
39,Videojuego At,Majority others according method election clearly.,2024-05-25,25.4,17000
40,Videojuego But,Skin sit modern ready approach.,2024-01-15,18.39,5101
41,Videojuego Ask,Everyone wish former tough difficult nature.,2023-08-19,18.63,17834
42,Videojuego Fight,Black step medical TV per fast sell.,2025-05-09,22.22,19591
43,Videojuego Outside,Western blue talk employee produce reality instead.,2022-12-05,48.18,5451
44,Videojuego Similar,All maintain agreement word image.,2023-04-29,19.13,8247
45,Videojuego Service,Even option dog put.,2023-09-14,10.51,4456
46,Videojuego Example,Relationship suggest out sometimes keep right blood.,2023-01-04,53.45,18510
47,Videojuego That,Act floor southern long commercial radio.,2022-04-30,11.5,18379
48,Videojuego Program,Discussion probably operation election now opportunity test.,2023-10-06,26.99,1036
