id_evento,id_videojuego,nombre,descripcion,fecha_inicio,fecha_fin,tipo,activo
1,968,Evento Himself,Practice final great forget learn remember.,2025-01-18,2025-01-27,Torneo,True
2,899,Evento Brother,Early image reason question threat.,2025-01-05,2025-04-04,Torneo,False
3,1446,Evento Boy,Long factor onto full actually.,2025-02-23,2025-06-07,Promoción,True
4,1494,Evento Leg,Skill man themselves happen memory who.,2025-03-30,2025-01-22,Torneo,False
5,1045,Evento Or,Subject later lay soon.,2025-03-04,2025-03-20,Torneo,False
6,586,Evento Pm,Tough us employee case collection may carry foreign.,2025-03-27,2025-04-26,Torneo,True
7,617,Evento Level,Shoulder prevent always commercial field affect say.,2025-01-30,2025-06-20,Promoción,False
8,1040,Evento Pass,Should voice true.,2025-03-01,2025-03-30,Promoción,False
9,1336,Evento Whether,Join discussion federal.,2025-04-24,2025-02-09,Torneo,False
10,1444,Evento Along,Hand political great who account bill use instead.,2025-01-06,2025-05-09,Torneo,False
11,447,Evento Window,Oil on main yes audience red social amount.,2025-05-11,2025-05-04,Promoción,True
12,1208,Evento Commercial,Year president accept often central place together.,2025-02-28,2025-02-18,Torneo,True
13,37,Evento Job,Receive admit measure safe treat.,2025-06-26,2025-05-03,Torneo,False
14,1058,Evento Scientist,Check agreement across after apply child difference.,2025-01-10,2025-04-21,Promoción,False
15,1364,Evento Check,Learn last increase management sort smile most.,2025-04-15,2025-05-18,Promoción,False
16,1160,Evento Radio,Daughter room paper response.,2025-04-05,2025-05-19,Torneo,False
17,450,Evento Attorney,Certainly hotel position drug collection energy experience rise.,2025-06-26,2025-01-25,Torneo,False
18,54,Evento One,Despite now you final.,2025-01-17,2025-01-02,Promoción,False
19,681,Evento Discuss,Cover phone reduce give.,2025-01-16,2025-03-15,Torneo,False
20,1131,Evento Number,Career house thousand rise.,2025-02-26,2025-01-08,Torneo,False
21,331,Evento Once,List magazine pull quickly.,2025-05-14,2025-01-12,Torneo,False
22,1472,Evento Contain,Measure work bank within work can political.,2025-03-18,2025-02-15,Promoción,True
23,1209,Evento Poor,Player specific civil bank.,2025-01-22,2025-03-02,Promoción,True
24,999,Evento Strategy,If although firm cultural fact.,2025-06-14,2025-01-05,Promoción,False
25,1047,Evento Usually,Art than over of know why head today.,2025-03-18,2025-02-24,Torneo,True
26,274,Evento Ago,Building ahead organization collection behavior.,2025-05-13,2025-01-29,Torneo,False
27,875,Evento Simple,Young the field parent.,2025-02-19,2025-05-13,Torneo,True
