id_logro,id_videojuego,nombre,descripcion,dificultad
1,1054,Logro Actually,Ever security fine type like establish.,Difícil
2,400,Logro Book,Economic house statement usually piece.,Difícil
3,1001,Logro Environmental,Network economy conference likely usually other marriage.,Medio
4,357,Logro Rather,Your happen public eye bill your.,Medio
5,961,Logro Big,Fight visit white product hundred turn several.,Medio
6,417,Logro Performance,People type play table trip identify small.,Medio
7,1119,Logro Stage,Even interview ready itself blood.,Medio
8,1440,Logro Soldier,Doctor fact attention conference.,Medio
9,466,Logro Group,Allow school car.,Fácil
10,1057,Logro Success,Learn arm suggest fire fly accept.,Difícil
11,948,Logro Yeah,Service window discussion guy find admit six.,Medio
12,1273,Logro Car,Heart nothing well program mention sing.,Difícil
13,558,Logro Very,Fill executive prove reflect agreement type amount beyond.,Medio
14,177,Logro Main,Light exactly garden style.,Fácil
15,309,Logro Between,Throw school individual reason.,Difícil
16,464,Logro Fact,Research travel against base so less.,Medio
17,1093,Logro Sit,Town sister think each trial.,Fácil
18,121,Logro Call,Watch successful lose food keep subject.,Medio
19,381,Logro Easy,Stay painting a time international blood.,Difícil
20,985,Logro Create,Reality also different soldier.,Fácil
21,54,Logro Travel,Talk what right on heart recently inside middle.,Fácil
22,383,Logro Case,His key human support even.,Fácil
23,1230,Logro World,Present wrong need career.,Fácil
24,698,Logro Human,Six measure maybe expert.,Medio
25,986,Logro This,Film water like student local.,Medio
26,675,Logro People,Day road southern theory foot agent sense.,Difícil
27,688,Logro Charge,Wait have suffer sense black.,Medio
28,175,Logro Actually,Song number others tough.,Medio
29,1302,Logro Station,Full break fire degree seven.,Medio
30,152,Logro Reality,Long account person care writer forget far.,Difícil
31,1004,Logro Which,Positive improve something church art.,Difícil
32,1311,Logro Affect,Attack choice question anything ability.,Medio
33,1207,Logro Hair,Yard either her I.,Medio
34,884,Logro Thus,Friend to treat see media attorney nor.,Fácil
35,247,Logro Author,Letter heart history matter beat marriage.,Difícil
36,33,Logro Measure,Bring bank its and rise pull person.,Fácil
37,1092,Logro Thousand,Board ball now in.,Difícil
