objeto_id,id_videojuego,usuario_id,nombre,descripcion,a_la_venta
1,374,1571,Objeto Past,Act how carry benefit stock truth.,False
2,1283,1630,Objeto Allow,Name few suffer partner.,False
3,1155,1808,Objeto Set,Because half prove fund myself story.,False
4,13,591,Objeto Try,Wrong we into must I after.,True
5,945,337,Objeto Different,Range officer include should.,False
6,1341,80,Objeto Able,Campaign scene too difference significant.,False
7,1128,1360,Objeto You,Challenge protect research strategy bank believe.,False
8,227,573,Objeto Reach,Art box phone enough mind appear.,False
9,71,962,Objeto Consumer,Agency run cover against line.,False
10,1144,1238,Objeto Open,Home adult Republican successful.,True
11,378,227,Objeto Tend,Foreign ground land million interest name mouth few.,True
12,942,1648,Objeto Husband,Strong somebody sing conference.,True
13,1447,1460,Objeto Network,However simply manage against.,True
14,635,1050,Objeto Red,Language occur public quite second one performance.,False
15,110,357,Objeto Small,Gun put may outside nice.,False
16,1016,1702,Objeto Official,Impact her site until no.,True
17,1001,865,Objeto Manager,Market back stop stay.,False
18,56,1201,Objeto Specific,What lead way edge.,False
19,508,748,Objeto Issue,Future lose manage beat.,True
20,1069,796,Objeto Health,Break economic itself detail mention company.,True
21,1239,904,Objeto Research,Evening country break live certain.,False
22,1490,747,Objeto Prevent,Police go effort international.,False
23,1474,738,Objeto Meeting,With cut idea understand establish.,False
24,1289,662,Objeto Community,Western worry capital five minute phone.,True
25,1280,1559,Objeto Office,Write ground they.,True
26,1235,1,Objeto Ready,Worker appear provide other.,False
27,50,902,Objeto Down,Throughout order operation run particularly could leg.,True
28,1450,1027,Objeto Individual,Just five sit note real nor however since.,False
29,785,597,Objeto Avoid,Four office receive growth themselves.,False
30,498,1190,Objeto Camera,Stand child old reflect.,False
31,1353,960,Objeto Continue,Recently both raise top understand.,True
32,1154,949,Objeto Prove,Better though Mrs attention new head maybe.,False
33,197,26,Objeto Single,Same occur performance quite.,False
34,1097,807,Objeto Need,Program power career event.,False
35,1455,548,Objeto Operation,Protect involve develop lot affect.,True
36,820,246,Objeto Collection,Participant buy tree your however politics.,False
37,729,8,Objeto Serious,Maybe strong card firm address imagine.,False
38,679,1701,Objeto Maybe,Without small opportunity American difficult read.,True
39,1040,1141,Objeto Around,Ten song of environment ten others.,True
40,553,1161,Objeto Draw,Collection plan particular student military child.,True
41,1468,1152,Objeto Message,Within play try follow trip spring.,False
42,56,1663,Objeto Movie,Because court same produce brother animal.,True
43,478,741,Objeto Mouth,Cut work billion difficult arm.,False
44,1095,109,Objeto Beyond,You gun box federal else toward.,True
45,101,1677,Objeto Your,Effort Republican total.,False
46,776,846,Objeto Plant,According seven month.,False
47,1072,1305,Objeto Serious,Cell prevent off also.,True
