objeto_id,id_videojuego,usuario_id,nombre,descripcion,a_la_venta
1,139,121,Objeto Again,Year affect reveal bad experience.,True
2,81,7,Objeto Movement,Town wonder until operation difference.,False
3,101,33,Objeto Beautiful,Professor oil professor help business.,False
4,105,172,Objeto Before,Especially southern group.,True
5,38,104,Objeto Eat,Fall cover character president defense.,False
6,131,16,Objeto Wear,Check event administration end.,True
7,33,35,Objeto Project,Piece meeting drop use.,False
8,12,187,Objeto Education,Poor arm happy interview nothing at poor.,True
9,143,177,Objeto Hard,Beautiful attention its game follow.,False
10,47,89,Objeto Return,Tonight yet most walk.,True
11,21,144,Objeto This,Career including control reason amount figure customer.,True
12,68,52,Objeto Week,Just mind mother building walk.,False
13,84,180,Objeto Add,Continue number imagine candidate seem.,False
14,67,133,Objeto Level,Leave five share mission rock just become.,False
15,40,194,Objeto Attention,Police sister positive base that his.,False
16,142,40,Objeto Increase,Country wish want amount maybe figure.,True
17,150,46,Objeto Painting,Watch argue cold.,True
18,81,19,Objeto Face,Idea edge response cultural lot player.,True
19,117,157,Objeto Game,Air senior challenge event.,True
20,118,134,Objeto Watch,Single produce if prove but strong key.,True
21,86,168,Objeto Reflect,Because account final discover success reach.,True
22,122,198,Objeto Rest,Congress help cut threat.,True
23,140,22,Objeto Share,Suggest wish travel admit allow reduce everybody especially.,False
24,1,199,Objeto Picture,Cup base feel Mrs protect property.,True
25,27,110,Objeto School,As mother director much land look think.,False
26,146,116,Objeto Painting,Not nor leg sister oil blue whatever answer.,False
27,97,132,Objeto Radio,Argue page important.,False
28,31,35,Objeto West,Deal follow join opportunity writer manager statement.,False
29,6,47,Objeto Owner,Everyone peace can expect.,True
30,5,87,Objeto Role,Seek consider item.,True
31,12,106,Objeto Discuss,Push protect huge wall house himself.,True
32,80,100,Objeto First,Evening center official product.,True
33,44,92,Objeto Fund,Meeting half wait agreement available.,True
34,105,14,Objeto Recent,Majority science between myself.,False
35,91,155,Objeto Billion,Miss light after table condition join record.,False
36,80,145,Objeto Cause,Fear measure south clearly country support.,False
37,106,47,Objeto Away,History toward board the.,True
38,117,68,Objeto Source,Federal few building result interesting second here.,True
39,100,17,Objeto Challenge,Writer avoid affect read dinner be.,False
40,25,32,Objeto Check,Mean approach example short available.,True
41,90,6,Objeto Pick,Thank attack money natural spend pass.,True
42,104,158,Objeto Strategy,Court realize rest oil.,True
43,83,117,Objeto Participant,Those fish reflect.,False
44,122,21,Objeto Really,Make few likely.,True
45,138,103,Objeto Around,That about executive computer fear.,False
46,8,166,Objeto Discuss,Work year third policy doctor the station.,True
47,21,86,Objeto War,Member color southern.,False
48,26,121,Objeto Create,Near nature culture which week local.,True
49,40,133,Objeto Early,Field shoulder past argue.,False
50,10,1,Objeto Face,Money student near then understand.,False
51,87,41,Objeto Industry,Nearly help them response seat.,True
52,42,45,Objeto There,Success list campaign happen.,True
53,63,160,Objeto Job,Right conference tonight fight study.,False
54,7,124,Objeto Nearly,Minute live student plan among.,False
