id_logro,id_videojuego,nombre,descripcion,dificultad
1,23,Logro Explain,Whose white him child by attention.,Medio
2,53,Logro And,Than hair level job soon husband.,Medio
3,1,Logro Heavy,Himself price leader nothing I education want.,Difícil
4,115,Logro Per,Player expert player need.,Difícil
5,119,Logro Party,Identify cause offer three itself seek pay.,Fácil
6,56,Logro Modern,Model exist data send push.,Medio
7,30,Logro Food,Image seem rule until.,Difícil
8,78,Logro Several,Risk him decision walk account bill mean point.,Difícil
9,40,Logro Rate,Book from detail free remember hard.,Medio
10,121,Logro Form,Base garden soon stop police PM.,Fácil
11,128,Logro Us,Include how participant discover.,Fácil
12,140,Logro Exist,Personal can expect catch everybody act gun.,Medio
13,72,Logro Wrong,Bring reason PM event wait describe four blood.,Difícil
14,6,Logro Military,Figure some guy often control simple call.,Fácil
15,70,Logro Expert,Suddenly option teach tax.,Difícil
16,11,Logro Compare,Increase they hear truth thing store forget.,Fácil
17,66,Logro Event,Better single hundred let believe.,Medio
18,135,Logro Authority,During leader old series along smile receive.,Difícil
19,102,Logro Hold,Experience sense find physical state condition.,Medio
20,27,Logro Administration,Father ago kitchen tax throw provide suffer list.,Difícil
21,65,Logro Beautiful,Let responsibility different.,Medio
22,73,Logro Care,World land possible yeah recently increase music many.,Difícil
23,51,Logro Little,Nothing finally boy while tough reach.,Difícil
24,22,Logro Let,Three let poor understand.,Fácil
25,19,Logro Could,She value in night.,Medio
26,79,Logro Give,Use friend during hot.,Difícil
27,88,Logro Bill,City best represent forward also real.,Fácil
28,136,Logro Firm,Specific truth one usually type.,Fácil
29,42,Logro Increase,Require after plan why now father music.,Fácil
30,107,Logro Idea,Far large different listen draw.,Medio
31,73,Logro Affect,Against interest fear always.,Difícil
32,35,Logro Technology,Sure light film cell.,Difícil
33,134,Logro Environmental,Else instead specific find sound join.,Difícil
34,54,Logro Score,Conference lawyer care nor can wall two everybody.,Difícil
35,27,Logro Free,Above yet officer fish.,Medio
36,140,Logro Answer,Owner main to color range.,Medio
37,72,Logro Day,Our week still true ability.,Medio
38,114,Logro Type,Right anyone until before.,Medio
39,146,Logro Debate,Green together interview tend drive region unit.,Difícil
40,36,Logro One,Tv law cut subject morning pay interview Republican.,Fácil
41,32,Logro Yes,Imagine story middle weight.,Difícil
42,31,Logro Week,Common start college wall.,Medio
43,103,Logro College,In step guess pattern production face if one.,Difícil
44,120,Logro Month,Rich beat rate or money.,Fácil
45,144,Logro Garden,Since training food low respond set.,Difícil
46,77,Logro Fear,Test morning article attack fast continue event.,Medio
47,122,Logro Either,Behind number alone join.,Difícil
48,107,Logro Become,Part allow say project base capital significant.,Fácil
49,123,Logro Size,Traditional goal deal western list note before southern.,Medio
50,129,Logro Dog,Leg citizen owner economic both magazine mean.,Medio
51,127,Logro Seek,Too design stay law.,Difícil
52,16,Logro Car,Although skill me movement hand since.,Medio
53,77,Logro Behind,Black reflect win while home deal important.,Fácil
54,127,Logro Decide,Require likely improve good.,Fácil
55,56,Logro Simply,Father they hear very during.,Fácil
56,91,Logro Decide,Price trouble if example treatment together.,Medio
57,101,Logro Concern,Fish future property.,Fácil
58,135,Logro Tv,Face station career.,Fácil
59,21,Logro Yes,Relationship no decade.,Difícil
60,102,Logro Magazine,Direction campaign Congress push modern young.,Fácil
61,93,Logro Charge,Out I artist.,Fácil
62,30,Logro Theory,Put him local sing money.,Difícil
63,1,Logro Capital,Leg still fire take machine.,Medio
64,75,Logro Two,World visit which lead.,Difícil
65,59,Logro Reason,Base open scene today.,Fácil
66,147,Logro Beautiful,Significant debate front free long hot.,Medio
67,49,Logro Dark,Hot audience machine admit culture.,Fácil
68,112,Logro Debate,Final might before series hotel.,Medio
69,85,Logro Consumer,Two back better.,Medio
70,44,Logro Picture,Authority hotel ever seek.,Medio
71,108,Logro Property,One quickly mission score stay question population.,Difícil
72,112,Logro Receive,Side after art tell idea accept.,Fácil
73,115,Logro Others,You work each scene control standard.,Difícil
74,38,Logro Possible,Stage reach story case.,Difícil
75,81,Logro Expect,Record produce cause especially.,Fácil
76,54,Logro Many,Practice century go east trip election.,Fácil
77,114,Logro Culture,Already employee grow ok physical who establish.,Medio
78,100,Logro Interest,Heavy stuff cover training product majority.,Medio
79,126,Logro Serve,Another everything those whose choose.,Medio
80,57,Logro Skin,Listen western treatment early wait agency change should.,Fácil
81,113,Logro Explain,Trouble image wind party.,Fácil
82,13,Logro Everything,Risk whether board.,Medio
83,9,Logro Hit,Statement religious force us development section.,Fácil
84,22,Logro Movement,Effect mention fire minute decade.,Fácil
85,94,Logro Everything,Each technology hot tax her fly.,Fácil
86,45,Logro Red,Identify stand positive record wide suddenly.,Fácil
87,77,Logro Growth,Treatment challenge vote maintain suddenly eight clear.,Difícil
88,23,Logro Executive,Near future walk child loss our.,Difícil
89,132,Logro Impact,Enough accept stay much think.,Medio
90,91,Logro Executive,Try wait side part west hold.,Medio
91,118,Logro Magazine,Factor camera agree direction service ask behavior.,Fácil
92,133,Logro Foreign,Front relate investment both.,Difícil
93,141,Logro Blue,Situation war way happy.,Difícil
94,111,Logro Bar,Economic voice trial push simply research matter.,Difícil
95,117,Logro Face,Decision sport pay somebody.,Medio
96,66,Logro Throw,Draw opportunity station ability suffer professional tough.,Difícil
97,122,Logro Affect,Possible six life see past money generation.,Fácil
98,87,Logro Tend,I cause happen society meet.,Medio
99,11,Logro Mission,Decade gun see individual.,Fácil
100,14,Logro Continue,Value team majority.,Fácil
101,90,Logro Amount,Over road some stay.,Fácil
102,75,Logro Will,Sure statement number PM main but tend.,Difícil
103,2,Logro Appear,Home employee month fund cell change.,Fácil
104,17,Logro Shoulder,Before training human bit finish center.,Medio
105,57,Logro In,Executive weight group class argue create behavior.,Difícil
106,102,Logro Treat,Effort kitchen into data miss.,Difícil
107,57,Logro Look,Machine candidate loss safe.,Medio
108,50,Logro Here,Quality several red decision assume successful her however.,Medio
109,27,Logro Network,Along various century energy reduce old.,Difícil
110,22,Logro To,Simple between say statement stay performance Mrs.,Medio
111,83,Logro Poor,Fly oil smile know board stuff.,Difícil
112,117,Logro Final,Kind probably sound policy history blood.,Medio
113,66,Logro Car,Machine computer Democrat common both piece region.,Fácil
114,134,Logro Happen,Size offer consumer positive.,Fácil
115,49,Logro Level,Development impact plant conference and.,Medio
116,21,Logro Pretty,Entire matter some man interview three economy.,Fácil
117,135,Logro And,Street line loss morning pretty live whether.,Medio
118,49,Logro Fact,Also will because could event subject first pretty.,Fácil
119,65,Logro Throughout,Myself direction message age.,Difícil
120,78,Logro History,Conference I art.,Medio
121,133,Logro Religious,Southern other but certainly worker receive.,Medio
122,66,Logro Recognize,Light result nothing college thought time peace.,Medio
123,89,Logro Congress,Image him soldier suddenly myself imagine kitchen.,Difícil
124,62,Logro Base,Himself agent reason she determine.,Fácil
125,79,Logro Action,Special factor spend.,Difícil
126,19,Logro Too,Would wind method gun.,Fácil
127,118,Logro Have,Middle theory ok exactly.,Medio
128,113,Logro Century,Someone west their free.,Fácil
129,106,Logro Ball,Run what general personal town early accept nation.,Medio
130,118,Logro Later,Reach leg bring accept employee box.,Medio
131,31,Logro Back,Voice threat house her move a in.,Fácil
132,21,Logro Quality,Generation almost score city condition who.,Fácil
133,26,Logro Lot,Who low Republican since present.,Fácil
134,106,Logro Himself,Management reduce skill environmental.,Fácil
135,113,Logro Day,Health particular more.,Difícil
136,20,Logro Business,Work writer summer color information.,Medio
137,144,Logro Sure,Write pattern concern toward fast spring produce general.,Medio
138,11,Logro Policy,Heart over situation responsibility ok rest.,Fácil
139,64,Logro Suggest,Help day reality decade.,Medio
140,57,Logro Really,Meet news economic make require score.,Fácil
141,72,Logro Enjoy,Card safe significant first.,Medio
142,82,Logro Start,Wish raise report.,Medio
143,28,Logro How,Heart that American life.,Difícil
144,74,Logro Professor,Surface TV it ask information.,Difícil
145,139,Logro Six,Eat indicate part language travel.,Fácil
146,76,Logro Person,Writer reach risk painting camera film leave.,Medio
147,132,Logro National,Film leader edge clearly voice.,Difícil
148,119,Logro Score,Until American need outside who respond plant.,Difícil
149,67,Logro Executive,Time option a.,Medio
150,60,Logro Purpose,Team better court name among hold.,Fácil
151,31,Logro Participant,Early surface between soon decide.,Difícil
152,26,Logro They,Pretty second mind start class.,Fácil
153,107,Logro Some,Ever such able.,Fácil
154,56,Logro Find,Sing hand industry watch allow.,Medio
155,2,Logro And,Parent certain cut memory house.,Difícil
156,138,Logro Investment,Blue politics firm phone conference someone.,Difícil
157,110,Logro Sea,Modern owner it message meeting free even.,Fácil
158,32,Logro Idea,Body a senior them general family.,Medio
159,70,Logro Sister,Though another consumer better.,Fácil
160,145,Logro Her,Story alone forward wait occur first test.,Medio
161,59,Logro Somebody,Area third truth matter.,Difícil
162,140,Logro Production,Marriage grow another car behavior game.,Difícil
163,73,Logro Job,All TV imagine common level let.,Fácil
164,62,Logro Hear,Performance simply put detail spring away thing bed.,Fácil
165,133,Logro Could,Worker drive sit feeling pass party.,Medio
166,84,Logro Above,Soldier around through realize season small long.,Fácil
167,96,Logro Daughter,Chair they always clearly young against.,Difícil
168,123,Logro Audience,Mrs above husband point.,Medio
169,150,Logro Simply,Southern size run reason act left hundred.,Fácil
170,36,Logro Stay,Should keep role.,Fácil
171,142,Logro Contain,Technology avoid less food study hit brother.,Difícil
172,84,Logro Right,Consider treat road science find west.,Medio
173,150,Logro Itself,Environment president station visit indeed school because.,Difícil
174,7,Logro Within,Since loss rock.,Fácil
175,102,Logro Outside,Play green understand media each toward.,Fácil
176,46,Logro Drug,Film these issue everyone camera.,Difícil
177,20,Logro Effort,Partner daughter wind term.,Fácil
178,53,Logro Miss,Area probably line and recently pay reach.,Medio
179,146,Logro Drive,Baby drop interest process right fight stay.,Difícil
180,55,Logro Prove,Else pass tonight stuff learn.,Fácil
181,34,Logro Fast,Reach difficult represent deal.,Fácil
182,99,Logro Thing,Meet career every.,Medio
183,34,Logro Here,Enough walk despite specific adult.,Difícil
184,128,Logro Player,Manage much describe ground.,Fácil
185,7,Logro Kind,New into toward six sing evidence.,Difícil
186,92,Logro Fill,Officer about student half buy successful.,Medio
187,117,Logro Health,Marriage look hand somebody citizen house each black.,Medio
188,4,Logro Sort,Third situation customer every.,Fácil
189,143,Logro Picture,Difficult article certain director good.,Difícil
190,42,Logro West,Street process work low plan education.,Difícil
191,127,Logro Indeed,Amount its herself less specific poor.,Difícil
192,124,Logro General,Style kind win.,Difícil
193,81,Logro Similar,Question week along change determine send task.,Difícil
194,21,Logro Answer,Mrs usually throughout would.,Medio
195,36,Logro Record,Gun describe nature often.,Difícil
196,103,Logro Strategy,Final develop turn machine condition.,Difícil
197,49,Logro Economy,Will your approach subject possible first.,Medio
198,75,Logro Note,Another travel administration continue author major.,Medio
199,16,Logro Step,Your may arrive kind by us analysis.,Fácil
200,10,Logro Concern,Three throughout believe project resource floor mouth.,Medio
201,64,Logro Raise,Kitchen now easy environment heart hot Congress.,Medio
202,113,Logro Section,Ten page accept spring different.,Difícil
203,58,Logro Manage,Become however throw.,Medio
204,89,Logro Model,Research late manager.,Difícil
205,42,Logro Face,Quality dark tough subject effect message west.,Medio
206,5,Logro Too,Yeah whole more understand.,Medio
207,147,Logro At,Politics enter enough knowledge impact relationship.,Difícil
208,15,Logro Key,Though bill chance shake thing.,Difícil
209,39,Logro Nice,Party industry relate affect contain tell tough.,Medio
210,6,Logro Never,Along speech food seat actually.,Medio
211,16,Logro Add,Hand avoid suffer democratic organization.,Fácil
212,62,Logro Wind,Get myself industry billion.,Fácil
213,4,Logro Worry,Themselves character international account western only four.,Fácil
214,84,Logro A,Decision off sell require parent.,Fácil
215,16,Logro Organization,Data happen try gun national minute trial.,Medio
216,109,Logro Your,Exist page school another sell.,Fácil
217,56,Logro Improve,Power hour court pretty arm number moment.,Medio
218,112,Logro Age,Market east movie present people remember.,Fácil
219,92,Logro Doctor,True market everybody others beautiful adult.,Medio
220,46,Logro Especially,Support black mother section.,Difícil
221,85,Logro Part,Discover make include brother government wrong.,Difícil
222,105,Logro Anyone,Child surface take body.,Medio
223,3,Logro Throw,Machine company many agency show cover.,Medio
224,68,Logro Girl,Staff why college me fast bit hope service.,Difícil
225,137,Logro Top,Ball stop enough decade raise issue.,Difícil
226,119,Logro Social,Begin phone long scientist agent authority.,Fácil
227,145,Logro Reach,Yes both edge apply spring.,Fácil
228,105,Logro Both,Heavy movement hear decide support attorney heavy.,Medio
229,44,Logro Step,Mean million both decision.,Fácil
230,129,Logro Side,Television church above research job successful.,Fácil
231,132,Logro Any,No take many water until.,Difícil
232,38,Logro Since,Least sort rise actually born.,Fácil
233,85,Logro Everybody,Think hit truth become build.,Fácil
234,46,Logro International,War address guy month not.,Fácil
235,6,Logro All,Thank case case away time democratic.,Fácil
236,144,Logro Pretty,Realize rate staff ball.,Fácil
237,21,Logro Real,Fly fact world water nature boy.,Medio
238,27,Logro Right,Couple image understand others baby.,Difícil
239,118,Logro Education,Fall represent itself important social.,Difícil
240,39,Logro Assume,Hot work southern sometimes bill both.,Difícil
241,11,Logro Again,Analysis while want whatever no.,Medio
242,88,Logro Character,Behind successful of why day door sit.,Difícil
243,97,Logro Baby,Probably design pressure so.,Fácil
244,10,Logro Well,Task much region give project particular.,Medio
245,23,Logro Learn,Here low view statement account soon.,Medio
246,75,Logro Interest,Within candidate support majority environment under.,Difícil
