reseña_id,id_videojuego,usuario_id,comentario,fecha_comentario,nro_logros,horas_jugadas
1,62,59,Past contain investment expert something world main.,2025-01-27,64,80
2,71,58,Sure late responsibility expect. Whether operation necessary some color step account join.,2025-06-22,2,127
3,91,131,Rather many Mr something have. Picture run quite since population develop amount.,2025-04-14,44,24
4,20,79,Behavior travel kitchen carry movement law. Possible line attention take. Letter stop foreign indeed within. Short now score ever note.,2025-05-23,74,109
5,58,190,Case talk provide risk expert key many.,2025-01-03,48,98
6,38,60,Car break source improve. Her cultural may explain move. Name debate same special cell save bank work.,2025-06-28,37,52
7,124,169,Ok something not better speech least. Manager pass arm couple building animal change fund. With teacher establish. Change brother spend ahead.,2025-01-03,46,73
8,99,157,Event state job them. Central billion past deep network control. Quality study central explain say arrive street. High poor energy news.,2025-01-07,17,200
9,31,103,Thing radio ago such. International when then play.,2025-03-13,46,129
10,121,59,Building newspaper candidate natural lead. Nice stock success former organization. Green name list lay upon.,2025-03-13,84,182
11,96,162,However certainly detail cultural so art. Level rule stuff police people country different. Wait movie adult summer travel. Financial wall beyond discussion.,2025-06-08,46,111
12,72,92,Minute question few old.,2025-05-03,52,197
13,73,27,Doctor would natural laugh all. Onto would behind may.,2025-04-08,62,75
14,31,115,Effort store current nor many product. Television ten federal teacher the. Care method wide scene upon wonder art station.,2025-04-02,20,89
15,63,191,Bit nation reach write certain. Role agency lose sing player old.,2025-06-27,24,87
16,128,59,Summer air hundred clear. Moment soldier around oil college low fact nature. Physical administration culture generation.,2025-01-11,15,175
17,99,100,Social protect style others response fly trouble. Game quite own key newspaper theory.,2025-03-26,60,132
18,119,145,Half indicate present possible single successful.,2025-05-30,80,57
19,103,129,Political natural road last. Government company already discussion service technology research.,2025-03-07,40,125
20,60,81,Carry investment mean wife attack memory staff. Hot role me bar so.,2025-05-11,67,176
21,1,24,Simple child campaign check factor describe theory sell.,2025-04-27,61,82
22,101,59,Travel include that real share computer. First street today hospital lead will with.,2025-02-20,56,13
23,148,198,Us fill analysis hope safe picture. Could positive organization each do.,2025-02-05,6,105
24,24,68,From tonight up popular. Bar avoid positive someone attorney off human eat.,2025-03-12,26,186
25,84,46,Past middle forward foreign. Order director and support that ahead.,2025-06-14,15,47
26,94,8,Radio something project boy some away. Development always simply shake special. Law office the design east. Yes bad citizen break.,2025-05-23,30,12
27,3,98,Least tend society cold economy. Fast fight direction challenge adult later manage president. Buy have couple environment.,2025-01-31,69,2
28,34,30,Author year letter fast yes ground everything. Cut put tree choice someone. Business our view herself option end song.,2025-04-25,78,156
29,52,21,Management room safe sell present community direction. Best skin first collection. Audience long structure computer police return. Would Congress perform read production.,2025-02-02,95,120
30,51,1,Great doctor common treat stay. Instead recently computer subject firm after participant soon. For others wear pay medical.,2025-01-16,67,160
31,107,18,Particularly represent arm ready foreign whose us. Recent hotel population husband impact particular central. Happen author civil stage possible. Page discover raise and black Republican.,2025-06-05,69,46
32,60,59,Clearly body whom reduce draw hospital. Help area piece.,2025-06-11,54,98
33,122,1,Road north speech reason shoulder after control. Short environmental save goal task mention author.,2025-05-22,56,54
34,98,196,Bar policy minute dinner at hold white. Story the partner positive single produce almost. Sister yet fast force.,2025-03-18,6,158
35,69,8,Already it people treat. Wrong nor political whose future realize class. Stage Congress soldier.,2025-05-15,75,89
36,95,87,Marriage nation way may recent. As enter camera special national. Behind it only method rate.,2025-06-06,87,117
