id_intercambio,id_objeto,usuario_id_dador,usuario_id_recibidor,saldo_dador,saldo_recibidor,fecha_transaccion
1,72,154,189,14.93,45.24,2025-04-24
2,54,190,148,35.4,23.82,2025-01-30
3,38,125,138,6.85,19.34,2025-06-17
4,57,172,45,25.55,34.89,2025-04-06
5,114,60,167,33.68,17.39,2025-04-26
6,49,26,90,27.06,20.87,2025-04-26
7,73,56,74,29.86,7.95,2025-05-02
8,97,30,152,45.88,9.28,2025-05-24
9,36,184,118,11.49,16.77,2025-01-30
10,138,50,195,40.61,38.26,2025-02-21
11,68,113,84,21.93,7.31,2025-03-31
12,100,189,185,22.28,10.66,2025-02-25
13,139,146,39,34.52,18.74,2025-06-11
14,114,133,195,30.9,23.71,2025-04-26
15,120,53,101,49.54,9.39,2025-03-30
16,103,32,130,35.31,38.72,2025-06-12
17,43,9,52,15.49,9.28,2025-03-23
18,97,105,18,44.94,29.66,2025-05-19
19,135,51,56,27.13,13.62,2025-02-04
20,26,132,34,32.17,29.76,2025-03-23
21,134,164,159,24.42,22.77,2025-05-27
22,68,173,121,33.8,32.13,2025-06-25
23,8,90,89,49.11,40.48,2025-04-26
24,9,51,113,14.69,35.69,2025-05-26
25,2,37,61,25.42,9.11,2025-06-07
26,71,167,75,22.65,38.21,2025-03-18
27,77,172,23,32.64,42.2,2025-06-30
28,95,157,160,34.43,15.35,2025-02-09
29,35,105,62,43.56,26.82,2025-01-18
30,37,133,163,21.66,35.47,2025-01-18
31,30,131,83,19.41,37.61,2025-06-04
32,93,50,52,49.76,28.46,2025-04-15
33,109,167,186,38.19,22.76,2025-05-02
34,37,113,20,17.95,34.75,2025-02-04
35,135,49,155,27.02,11.99,2025-06-08
36,39,147,110,16.92,14.52,2025-05-14
37,41,36,114,46.22,29.13,2025-01-06
38,46,10,77,38.75,30.78,2025-03-17
39,94,166,26,9.54,16.05,2025-06-09
40,11,8,182,35.76,31.52,2025-02-19
41,120,67,189,31.36,36.62,2025-02-15
42,97,42,61,33.14,35.55,2025-06-24
43,149,187,200,28.3,47.96,2025-03-04
44,63,4,58,11.46,32.05,2025-04-03
45,37,164,40,43.17,41.48,2025-05-21
46,46,18,28,17.57,17.13,2025-02-02
47,120,148,200,16.61,23.89,2025-01-04
48,11,182,20,11.36,49.06,2025-03-04
49,16,89,86,16.43,23.35,2025-03-07
50,6,76,168,15.88,39.93,2025-02-11
51,37,64,134,14.58,19.39,2025-01-04
52,3,196,65,23.94,28.37,2025-05-27
53,34,182,85,37.21,34.51,2025-04-17
54,100,52,77,9.27,34.21,2025-03-21
55,70,61,166,16.78,39.87,2025-04-17
56,22,95,38,25.25,22.38,2025-04-19
57,115,14,162,39.95,17.84,2025-01-06
58,109,120,157,42.93,38.46,2025-01-04
59,50,42,2,17.01,42.79,2025-04-21
60,66,51,125,44.61,16.91,2025-04-12
61,104,34,156,27.38,47.77,2025-06-28
62,45,178,4,14.35,16.78,2025-06-11
63,28,169,8,24.62,19.52,2025-06-12
64,50,85,106,40.07,10.74,2025-06-24
65,32,64,92,39.25,46.05,2025-02-10
66,114,45,176,42.7,24.25,2025-02-11
67,112,105,94,31.28,49.39,2025-05-21
68,143,116,34,9.32,47.73,2025-01-13
69,135,180,99,34.46,15.68,2025-04-13
70,25,108,15,35.39,18.33,2025-06-07
71,44,78,72,28.71,30.11,2025-03-15
72,87,1,37,5.07,20.27,2025-04-03
73,87,116,51,15.92,44.67,2025-05-21
74,147,119,67,29.56,47.19,2025-02-25
75,103,4,27,5.21,19.83,2025-01-10
76,54,80,140,10.18,40.02,2025-01-22
77,24,27,140,32.74,38.32,2025-04-07
78,63,29,176,12.4,12.45,2025-04-22
79,120,67,178,12.55,36.71,2025-06-30
80,147,7,144,22.03,48.24,2025-06-05
81,26,80,22,33.36,22.16,2025-06-02
82,66,186,99,15.33,34.03,2025-06-07
83,130,144,95,13.4,33.79,2025-01-08
84,3,151,108,48.67,32.11,2025-02-02
85,73,89,132,19.12,33.3,2025-01-24
86,120,191,184,45.67,20.51,2025-04-12
87,42,48,57,45.5,19.56,2025-04-13
88,6,96,122,32.99,47.37,2025-06-10
89,74,173,64,5.95,9.59,2025-05-22
90,133,47,51,41.74,47.81,2025-03-31
91,85,142,35,6.48,23.63,2025-05-30
92,120,113,95,5.54,30.52,2025-03-02
93,18,126,34,34.69,37.36,2025-06-11
94,142,104,158,17.55,8.54,2025-01-08
95,6,140,123,37.28,20.42,2025-05-08
96,1,51,158,18.28,39.4,2025-03-15
97,108,115,181,28.12,17.76,2025-05-21
98,10,23,89,22.05,23.56,2025-03-10
99,60,73,125,48.73,29.92,2025-03-09
100,112,163,74,35.3,11.93,2025-03-15
101,111,102,183,46.37,45.24,2025-02-23
102,78,121,141,21.64,23.84,2025-03-15
103,150,166,198,12.65,6.68,2025-04-01
104,113,113,80,7.96,15.2,2025-02-17
105,85,60,97,6.08,20.25,2025-06-25
106,47,128,18,39.91,12.97,2025-04-02
107,9,59,167,49.53,5.45,2025-02-17
108,134,174,112,35.38,13.08,2025-04-26
109,102,113,80,48.11,6.7,2025-06-22
110,123,41,28,34.74,26.31,2025-02-25
111,73,188,79,18.58,6.45,2025-04-14
112,69,85,195,25.76,7.69,2025-05-24
113,76,57,117,33.51,29.67,2025-06-27
114,53,97,18,24.08,6.92,2025-05-13
115,24,95,2,18.26,7.61,2025-05-17
116,9,160,12,12.01,31.73,2025-03-21
117,44,121,167,8.66,11.27,2025-03-16
118,144,35,27,8.46,7.94,2025-02-03
119,30,52,26,47.05,24.48,2025-06-21
120,30,122,184,43.68,49.42,2025-01-24
121,44,139,27,11.22,21.76,2025-01-17
122,109,131,34,8.63,27.79,2025-05-04
123,9,187,142,16.17,37.81,2025-01-03
124,97,96,136,46.17,30.28,2025-01-11
125,147,140,101,45.9,15.9,2025-06-21
126,24,40,155,23.23,39.98,2025-04-09
127,94,189,73,47.41,27.74,2025-05-14
128,6,3,1,11.44,38.33,2025-02-10
129,54,168,36,13.38,42.28,2025-05-02
130,124,171,33,17.4,16.73,2025-04-14
131,36,11,45,46.29,20.81,2025-03-01
132,83,52,162,9.28,40.7,2025-01-23
133,38,162,65,19.44,33.57,2025-04-25
134,63,91,103,39.63,48.08,2025-06-15
135,100,143,92,6.44,19.94,2025-02-15
136,101,9,194,23.95,17.16,2025-05-15
137,41,68,12,38.5,17.05,2025-04-24
138,21,86,167,23.74,39.81,2025-02-04
139,69,59,168,49.48,46.94,2025-03-18
140,46,65,95,46.7,42.02,2025-01-13
141,30,44,128,13.97,30.51,2025-06-25
142,19,105,74,41.61,35.53,2025-05-10
143,67,2,8,40.95,12.14,2025-05-29
144,45,104,60,31.24,41.83,2025-02-27
145,9,165,140,38.89,45.09,2025-06-09
146,117,140,169,25.23,32.86,2025-06-11
147,86,89,94,10.27,40.64,2025-06-02
148,108,94,48,26.6,45.55,2025-02-11
149,99,196,154,5.67,44.09,2025-01-24
150,49,158,192,27.24,39.09,2025-01-22
151,42,40,174,24.3,49.97,2025-03-22
152,55,65,17,36.55,12.12,2025-06-03
153,146,1,78,46.0,38.7,2025-06-12
154,26,40,65,12.94,16.55,2025-06-26
155,108,83,138,37.77,27.07,2025-05-14
156,31,65,155,19.18,16.36,2025-04-09
157,73,97,156,28.12,27.5,2025-05-17
158,132,129,52,23.98,37.9,2025-06-19
159,105,185,10,48.44,23.65,2025-06-05
160,22,72,183,41.51,6.32,2025-05-19
161,100,137,90,29.72,28.58,2025-01-06
162,143,191,188,36.66,26.37,2025-05-30
163,48,151,194,6.12,21.01,2025-06-06
164,79,111,18,14.86,12.44,2025-02-05
165,117,161,33,49.24,27.37,2025-04-04
166,113,178,40,26.99,48.0,2025-02-24
167,65,126,88,36.93,37.55,2025-04-29
168,58,199,12,21.23,27.98,2025-03-06
169,101,137,167,45.31,9.33,2025-03-06
170,34,130,36,11.54,47.03,2025-03-18
171,50,12,7,27.03,8.51,2025-04-26
172,135,13,36,33.3,30.34,2025-05-16
173,145,67,21,18.61,46.4,2025-04-25
174,120,95,11,19.84,44.68,2025-03-04
175,29,79,169,18.88,31.11,2025-01-29
176,47,198,2,34.57,26.38,2025-04-26
177,104,163,55,9.11,43.47,2025-04-08
178,125,111,172,27.18,21.95,2025-03-08
179,110,53,196,24.08,39.69,2025-02-05
180,69,19,36,25.92,21.33,2025-05-16
181,116,88,63,12.3,48.91,2025-05-09
182,88,57,128,11.95,29.15,2025-05-27
183,114,187,82,12.84,34.74,2025-01-10
184,42,70,92,34.81,49.95,2025-05-21
185,29,97,83,39.15,18.94,2025-03-11
186,1,49,169,34.23,33.77,2025-06-11
187,44,143,41,26.39,15.83,2025-04-26
188,135,67,181,9.76,22.05,2025-04-03
189,23,101,119,26.81,11.34,2025-02-25
190,37,15,29,11.8,10.39,2025-01-20
191,104,156,25,17.66,30.95,2025-05-20
192,26,56,192,45.48,43.03,2025-01-31
193,104,45,136,25.37,17.01,2025-03-18
194,87,161,45,34.11,23.17,2025-02-13
195,46,42,186,8.86,33.68,2025-03-02
196,92,173,189,25.51,45.55,2025-06-14
197,24,85,133,24.1,40.49,2025-05-19
198,78,118,15,11.3,12.89,2025-04-11
199,58,60,17,10.65,39.41,2025-06-10
200,112,26,93,38.82,10.45,2025-06-27
